Reference,Value,Datasheet,Footprint,Qty,DNP
"C1,C5,C6,C7,C8",0.1uF,~,Capacitor_SMD:C_0805_2012Metric,5,
"C2,C9",10uF,~,Capacitor_SMD:C_0805_2012Metric,2,
"C3,C4",1uF,~,Capacitor_SMD:C_0805_2012Metric,2,
"C10,C11",36pF,~,Capacitor_SMD:C_0805_2012Metric,2,
,,,,,
,,,,,
J3,12401598E4_2A,,custom:AMPHENOL_USBC,1,
"R2,R5,R6,R7",10k,~,Resistor_SMD:R_0805_2012Metric,4,
"R3,R4",22,~,Resistor_SMD:R_0805_2012Metric,2,
"S1,S2",FSM1LPATR,,custom:SW_1-1437565-8,2,
"Switches_In1,Switches_Out1,Terminal_1Out1,Terminal_2Out1,Terminal_C1,Terminal_In1,Terminal_In2,Terminal_In3,Terminal_PowerIn1",OSTVN02A150,OSTVN02A150,-- mixed values --,9,
"TP1,TP2,TP3,TP4,TP5,TP6,TP7",5016,,custom:KEYSTONE_5016,7,
U1,ATmega32U4-M,http://ww1.microchip.com/downloads/en/DeviceDoc/Atmel-7766-8-bit-AVR-ATmega16U4-32U4_Datasheet.pdf,Package_DFN_QFN:QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm,1,
U2,DRV8904QPWPRQ1,DRV8904QPWPRQ1,custom:HTSSOP24_PWP_TEX,1,
U3,AP7363-33D-13,AP7363-33D-13,Package_TO_SOT_SMD:TO-252-2,1,
Y1,C5S-24.000-20-3030-X-R,,custom:XTAL_C5S-24.000-20-3030-X-R,1,
